"Character Name","Alternative Name","Category","Description","Source References"
"King Arthur","","Character","This character served as the subject of a story set in medieval Europe that Jaiko was planning to write for her manga. He is a character from Arthurian legends.","TenComi"
"Arthur Grant","","Character","This character appeared in materials created by Nobita for the public debate Does Nessie Exist or Not?. In January 1934, Arthur Grant saw a creature crossing a road near Loch Ness.","TenComi Volume 6, Page 125"
"R3-D3","","Robot Servant","A robot servant of Princess Are Okkana. Chased by Akan Vader, R3-D3 fled from Planet Lilliput. When Princess Are was captured by Akan Vader near Earth, the robot escaped seeking help.","TenComi Volume 32, Page 93"
"Are Okkana","","Princess","The princess of Lilliput. She looks a little like Shizuka and wears a large star-shaped necklace. She was attacked by Akan Vader's forces and fled into space, but was captured near Earth.","TenComi Volume 32, Page 89"
"Aoi no O","","Phone Book Entry","This is the entry Shizuka read aloud to test Nobita, who had memorized the phone book using Memory Bread. The entry appears above the alphabetical listings in the phone book.","TenComi Volume 9, Page 167"
"My Dog Dora","","Character","Doraemon appeared in Nobita's dream as seen through the Standing Dream Stick.","TenComi Volume 16, Page 61; FF Land Volume 20, Page 166; Complete Works Volume 7, Page 304"
"Einstein","","German Physicist","Albert Einstein was a German physicist famous for his theory of Brownian motion, his explanation of the photoelectric effect, and his theory of relativity. Suneo explained this to Nobita.","TenComi Volume 14, Page 169"
"Einmotain (Doctor)","Ainmotain (Professor)","Scientist","From The Screw of Life story. Einmotain was a stuffed cow brought to life by the screw. After receiving energy from a lightning strike, the cow gained human intellect.","Long Series Volume 17, Page 39"
"The Girl with Red Shoes","Girl in Red Shoes","Kindergarten Friend","A girl who lived next door to Nobita when he was in kindergarten. Her name is Nonko. Nobita played a prank and hid her red shoes.","TenComi Volume 6, Page 92"
"Red Scorpion","","Musical Character","A character from the musical The Birth of Heaven. He is the King of the Southern Desert who tried to conquer the lush, green land of the White King.","The Epic Volume 12, Page 106"
"Akan Vader","Akanbeda","Villain","Invaders who attacked Planet Lilliput. Akan Vader wears a mask covering his face. He captured Princess Are Okkana near Earth, then landed on Earth. He secretly built a base underground.","TenComi Volume 32, Page 89"
"The Person Who Threw Away the Empty Cans","","Unnamed Character","Someone who threw an empty drink can into someone's yard. This person has an afro, wears sunglasses, and has a beard.","Color Volume 6, Page 85"
"The Burglar","","Thief","A burglar tried to break into Mr. Torigoe's house wearing sunglasses. The burglar tracked the residents movements and climbed over the fence to enter. However, Nobita and Doraemon stopped him.","TenComi Volume 42, Page 128"
"Landlord of Vacant Land","Owner of the Vacant Lot","Old Man","The old man who owns the vacant lot where Nobita built a house using the Camping Capsule without permission. He came to complain about the unauthorized construction.","TenComi Volume 7, Page 122"
"Devil","","Demon","A demon summoned by Nobita using a demon-summoning tool. He was a very humble demon, crying and saying that hardly anyone called on him anymore these days. He gave Nobita the Devil's Passport.","TenComi Volume 1, Page 149"
"Akuma","Akumaan","TV Villain","The villain from the TV show Nobita watches every week. Thanks to the peace signals emitted from the Peace Antenna by his arch-enemy Mutekiman, he ended up becoming friendly.","TenComi Volume 19, Page 134"
"Demon Race (Magical World)","Demon Tribe","Aliens","In a magical world, demons and monsters are said to have existed on Earth long ago. They possess tremendous magical power. Originally, they were not evil.","Long Series Volume 9, Page 78"
"Demon Race (Animal Planet)","Demon Tribe","Aliens","On Animal Planet, a race is said to have ruled the moon visible from Nimge. Legend says that long ago on the moon, they oppressed the ancestors of the Animal Planet residents.","Long Series Volume 10, Page 85"
"Akuma Robo Black","","TV Character","A character that appeared on TV Nobita was watching. He was hit with a swift punch by Grand Robo Deluxe.","FF Land Volume 3, Page 99; Plus Volume 4, Page 57"
"Villain Star","","Character","Having lost his memory, he went into houses one by one searching for his own home. The Forgetful Hammer drives him crazy if he hits his head too hard with it.","TenComi Volume 23, Page 98"
"Asare-chan","","Merchandise Character","A character whose related merchandise Shizuka collects.","TenComi Volume 28, Page 149"
"Aston","","Boy","A boy on a mystery tour and the son of a billionaire. Jane is Aston's friend. His body was taken over by a parasite.","The Longest Novel Volume 16, Page 66"
"Aston's Dad","","Billionaire","Aston's father and a billionaire. He invested funds to rebuild Dreamersland, which was destroyed in an attack by Yadori.","The Longest Novel Volume 16, Page 66"
"Adam (Nobita Explaining)","Adam","Biblical Figure","This figure appeared when Nobita explained to Shizuka that it was right to be naked. Adam is a figure from the Bible, considered the first human created by God.","TenComi Volume 21, Page 150"
"Adam (Garden of Eden)","Adam","Biblical Figure","One of the ancestors of humankind who lived in the Garden of Eden with Eve. Adam ate the fruit of the Tree of Knowledge, which God had forbidden him to eat.","Long Series Volume 15, Page 23"
"Adamsen","","Documenter","This character appeared in materials created by Nobita for the public debate Does Nessie Exist or Not?. In 565, Adamsen wrote about the dragon in his Life of Saint Columba report.","TenComi Volume 6, Page 127"
"Prince Adolf","Adolf Denka","Royalty","The Crown Prince of the Principality of Littlestein. During Shizuka's visit to Japan, she attached a letter to a balloon and released it into the air. The prince received it.","TenComi Volume 13, Page 139"
"Ichiro Abaratani","Abaraya Ichiro","Student","He lives in a small house with his mother and six siblings. The Christmas party was to be held at his house, but it was too small, so Doraemon solved the problem.","TenComi Volume 5, Page 23"
"Abaratani-Kun's Mother","Abaraya-Kun's Mother","Parent","Abaratani Ichiro's mother raises six children in a small house. She prepared to leave the house for her son, who promised to attend a Christmas party.","TenComi Volume 5, Page 22"
"Abaratani Jiro","Abaraya Jiro","Sibling","Abaratani Ichiro's brother.","TenComi Volume 5, Page 23; FF Land Volume 13, Page 98; Complete Works Volume 3, Page 288"
"The Old Man Who Runs the Dilapidated House","Old Man in the Dilapidated House","Shop Owner","The owner of a traditional Japanese confectionery shop that looks dilapidated and is on the verge of closing due to poor business.","TenComi Volume 32, Page 106"
"Abare-chan","","Robot","The main character of Dr. Stop Abare-chan. She is a strong and cute girl robot.","TenComi Volume 31, Page 148; TenComi Volume 35, Page 48; FF Land Volume 44, Page 98; Complete Works Volume 14, Page 488"
"Abzil","","Slave Trader","An Arabian slave trader who tried to capture Shizuka and sell her off. He had been rescued by Sinbad in the past and taken to the Golden Palace, and now he wants to seize the treasure.","TenComi Volume 20, Page 140"
"Abdullah","","Alias","The name Doraemon used when introducing himself to King Harun al-Rashid.","Long Series Volume 11, Page 65"
