Magazine code,Date,English title,Japanese title,English Kindle,Bilingual Print,Tankōbon,Complete Collection,1979 anime,,2005 anime,,,Movie,,Short film,Notes
YK,1970-01,A Doraemon for You,ドラえもんあげる,Vol 197,,Vol 0,Vol 18,,,,,,,,,
KG,1970-01,Meet Doraemon,ドラえもんがやってきた,Vol 196,,Vol 0,Vol 18,,,,,,,,,
G1,1970-01,Doraemon's Debut!,ドラえもん登場！,Vol 174,,Vol 0,Vol 2,,,,,,,,,
G2,1970-01,Doraemon: the Robot from the Future,未来から来たドラえもん,Vol 168,,Vol 0,Vol 1,,,,,,,,,
G3,1970-01,Doraemon's Desk-Drawer Debut,机からとび出したドラえもん,Vol 172,,Vol 0,Vol 1,,,,,,,,,
G4,1970-01,All the Way From the Future,未来の国からはるばると,Vol 1,Vol 1-1,Vol 1,Vol 1,Special (Ep 234B),Ep 1694,Ep 44 (87),,,Stand by Me Doraemon,,,
YK,1970-02,Turning Invisible,ひっぱると消えるしっぽ,Vol 197,,,Vol 18,,,,,,,,,
KG,1970-02,The Robo-Pen,ロボットえんぴつ,Vol 196,,,Vol 18,,,Ep 10 (Short),,,,,,
G1,1970-02,The Never-misser,アタールガン,Vol 174,,,Vol 2,,,,,,,,,
G2,1970-02,Baseball Dream Team,やきゅうそうどう,Vol 173,,,Vol 1,,,,,,,,,
G3,1970-02,My Beloved Little G,愛妻ジャイ子！？,Vol 172,,Vol 0,Vol 1,,,,,,,,,
G4,1970-02,The Prophesies of Doraemon,ドラえもんの大予言,Vol 21,Vol 3-5,Vol 1,Vol 1,Ep 7,,Ep 16A (31),,,,,,
YK,1970-03,Playing Flat,ペタンコになって遊ぼう,Vol 197,,,Vol 18,,,Ep 6 (Short),,,,,,
KG,1970-03,Cake Farmers,ケーキを育てよう,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-03,The Time TV,タイムテレビ,Vol 174,,,Vol 2,,,,,,,,,
G2,1970-03,The Okey Mikey,オーケーマイク,Vol 173,,,Vol 1,Ep 403,,,,,,,,
G3,1970-03,Noby Gets Strong,のび太が強くなる,Vol 172,,,Vol 1,,,,,,,,,
G4,1970-03,The Street Fighting Set,けんかマシン,Vol 172,,,Vol 1,Ep 413,,,,,,,,
YK,1970-04,The String Travel Phone,すいこむ糸電話,Vol 197,,,Vol 18,,,Ep 13 (Short),,,,,,
KG,1970-04,Fishing with Gadgets,ふしぎな道具で魚つり,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-04,Scaredy Cat,ねずみこわーい,Vol 176,,,Vol 3,,,,,,,,,
G2,1970-04,Sticky Shoes and Grabby Gloves,ペタリぐつとペタリ手ぶくろ,Vol 175,,,Vol 2,,,,,,,,,
G3,1970-04,The Comic Artist,まんが家,Vol 174,,,Vol 1,Ep 374,,,,,,,,
G4,1970-04,The Homing Camera,おいかけテレビ,Vol 143,,Vol +1,Vol 1,Ep 398,,,,,,,,
YK,1970-05,As Seen on TV,テレビからお客さま,Vol 197,,,Vol 18,,,,,,,,,
KG,1970-05,The Anything Egg,なんでもたまごに…,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-05,,ドラえもん対ガチャ子,,,,Vol 3,Ep 432,,,,,,,,
G2,1970-05,,ロボットのガチャ子,,,,Vol 2,,,,,,,,,
G3,1970-05,Dinosaur Hunters,恐竜ハンター,Vol 24,,Vol 2,Vol 1,Ep 8,,Ep 390 (668),,,,,,
G4,1970-05,Spy Games,㊙スパイ大作戦,Vol 22,,Vol 1,Vol 1,Ep 26,,Ep 6A (11),,,,,,
YK,1970-06,The Patrol Car,パトロールカー,Vol 197,,,Vol 18,,,,,,,,,
KG,1970-06,The Super Toothbrush,歯みがきで強くなろう,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-06,,きょうりゅうが来た,,,,Vol 3,Ep 420,,,,,,,,
G2,1970-06,The Spook Detector,お化けたん知機,Vol 168,,,Vol 2,Ep 373,,Ep 492A (869),,,,,,
G3,1970-06,From Hunter… to Warlord?,ご先祖さまがんばれ,Vol 21,,Vol 1,Vol 1,Ep 24,Ep 1639,Ep 20 (39),Ep 467A (823),,,,,
G4,1970-06,The White Lily Girl,白ゆりのような女の子,Vol 4,,Vol 3,Vol 1,Ep 34,,Ep 16B (32),,,,,,
YK,1970-07,Mysterious Mirror,ふしぎなかがみ,Vol 197,,,Vol 18,,,,,,,,,
KG,1970-07,Robot Legs,ロボット足,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-07,,まほうのかがみ,,,,Vol 3,Ep 412,,,,,,,,
G2,1970-07,The Wishing Star,ねがい星,Vol 44,Vol 2-2,Vol 10,Vol 2,Ep 64,Ep 1207,Ep 253A (407),Ep 528B (938),,,,,
G3,1970-07,The Antique-o-Matic,古道具きょう争,Vol 21,,Vol 1,Vol 1,Ep 31,Ep 848,Ep 18A (35),,,,,,
G4,1970-07,The Robot God of Fortune,ロボット福の神,Vol 173,,,Vol 1,Ep 1597,,,,,,,,
YK,1970-08,The Flying Zoo,空とぶ動物園,Vol 197,,,Vol 18,,,,,,,,,
KG,1970-08,Swimming in Pictures,絵の中で海水浴,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-08,I Wanna Be a Dog,いぬになりたい,Vol 177,,,Vol 3,Ep 435,,,,,,,,
G2,1970-08,The Beach in the Closet,ふしぎな海水浴,Vol 168,,,Vol 2,Ep 1594,,,,,,,,
G3,1970-08,Do-it Drops,ソーナルじょう,Vol 26,Vol 3-6,Vol 3,Vol 1,Ep 151,,Ep 55A (109),,,,,,
G4,1970-08,The Peeping Ghost,のぞきお化け,Vol 173,,,Vol 1,,,,,,,,,
YK,1970-09,Firework Seeds,花火のたね,Vol 197,,,Vol 18,,,Ep 8 (Short),,,,,,
KG,1970-09,The Mail-bot,ゆうびんロボット,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-09,Ultradog,ウルトラワン,Vol 177,,,Vol 3,,,,,,,,,
G2,1970-09,The Tickle Me Flea,くすぐりノミ,Vol 168,,,Vol 2,Ep 1595,,,,,,,,
G3,1970-09,The Dreamflipper Pillow,うつつまくら,Vol 31,,Vol 5,Vol 1,Ep 210,Ep 1192,Ep 61B (122),,,,,,
G4,1970-09,"I, Luh, Luh, Love You!",ああ、好き、好き、好き！,Vol 26,,Vol 3,Vol 1,Ep 22,,Ep 23A (44),,,,,,
YK,1970-10,The Wind Rocket,風のロケット,Vol 197,,,Vol 18,,,,,,,,,
KG,1970-10,The Personal Train,せん用電車で行こう,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-10,Dreams,ゆめ,Vol 177,,,Vol 3,Ep 425,,,,,,,,
G2,1970-10,The Gravity Twister,引力ねじ曲げ機,Vol 175,,,Vol 2,Ep 386,,,,,,,,
G3,1970-10,The Curse Camera,のろいのカメラ,Vol 10,Vol 2-5,Vol 4,Vol 1,Ep 11,,Ep 12B (23),,,,,,
G4,1970-10,The Conscience Cricket,ペコペコバッタ,Vol 13,,Vol 1,Vol 1,Ep 32,Ep 1181,Ep 21A (40),Ep 697B (1217),,,,,
YK,1970-11,Making Things Bigger,なんでも大きくなるライト,Vol 198,,,Vol 18,,,,,,,,,
KG,1970-11,The Jump Bow,ジャンプゆみ,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-11,,おかしなでんぱ,,,,Vol 3,,,,,,,,,
G2,1970-11,The People Puppeteer,人間あやつり機,Vol 40,,Vol 9,Vol 2,Ep 143,Ep 1411,Ep 803A (1377),,,,,,
G3,1970-11,Memories of Grandma,おばあちゃんのおもいで,Vol 4,Vol 1-1,Vol 4,Vol 1,Ep 43–44,Special (Ep 847B),Ep 54B (107),Ep 256 (412),,Stand by Me Doraemon 2,,A Grandmother's Recollections,
G4,1970-11,Memory Mallet,わすれとんかち,Vol 29,Vol 2-2,Vol 5,Vol 1,Ep 129,,Ep 484A (854),,,,,,
YK,1970-12,The Magic Zip,マジックチャック,Vol 198,,,Vol 18,,,Ep 9 (Short),Ep 594B (1055),,,,,
KG,1970-12,Building a Robot,ロボットを作ろう,Vol 196,,,Vol 18,,,,,,,,,
G1,1970-12,Walking through Walls,かべぬけき,Vol 177,,,Vol 3,Ep 421,,,,,,,,
G2,1970-12,Iron Drops,ガンじょう,Vol 175,,,Vol 2,Ep 389,,,,,,,,
G3,1970-12,The Psychic Cap,エスパーぼうし,Vol 36,Vol 1-2,Vol 7,Vol 1,Ep 152,Ep 1380,Ep 444A (779),,,,,,
G4,1970-12,The Time Kerchief,タイムふろしき,Vol 24,Vol 3-2,Vol 2,Vol 1,Ep 17,Ep 1381,Ep 5A (9),Ep 554A (985),,,,,
YK,1971-01,Ricecake Robots,もちつきロボット,Vol 198,,,Vol 18,,,,,,,,,
KG,1971-01,Magic Pictures,ふしぎなお絵かき,Vol 196,,,Vol 18,,,,,,,,,
G1,1971-01,Wallpaper Party,かべ紙の中で新年会,Vol 40,,Vol 9,Vol 3,Ep 493,,Ep 33B (66),,,,,,
G2,1971-01,Silly Pepper,ネンドロン,Vol 168,,,Vol 2,,,Ep 388A (664),,,,,,
G3,1971-01,The Eyes Have It,ねこの手もかりたい,Vol 36,,Vol 7,Vol 1,Ep 382,,,,,,,,
G3,1971-01,,ドラえもんのおとしだま,,,,Vol 1,,,,,,,,,Bonus comic drawn to promote a manga contest.
G4,1971-01,Nobizaemon's Secret,のび左エ門の秘宝,Vol 28,,Vol 4,Vol 1,Ep 189,,Ep 155 (278),,,,,,
YK,1971-02,The Magic Rope,なんでもロープ,Vol 198,,,Vol 18,,,Ep 5 (Short),,,,,,
KG,1971-02,Cloud-Skis and Cloud-Shoes,雲スキーと雲ぐつ,Vol 196,,,Vol 18,,,,,,,,,
G1,1971-02,The Magic Magnifying Glass,虫めがね,Vol 177,,,Vol 3,Ep 422,,,,,,,,
G2,1971-02,The Flubag,かぜぶくろ,Vol 168,,,Vol 2,Ep 638,,Ep 422B (738),,,,,,
