"Character Name","Alternative Name","Category","Description","Source References"
"King Arthur","","Character","This character served as the subject of a story set in medieval Europe that Jaiko was planning to write for her manga. He is a character from Arthurian legends.","TenComi Volume 44, Page 141"
"Arthur Grant","","Character","This character appeared in materials created by Nobita for the public debate Does Nessie Exist or Not?. In January 1934, Arthur Grant saw a creature crossing a road near Loch Ness while on his motorcycle.","TenComi Volume 6, Page 126"
"R3-D3","","Robot Servant","A robot servant of Princess Are Okkana. Chased by Akan Vader, R3-D3 fled from Planet Lilliput. When Princess Are was captured by Akan Vader near Earth, the robot escaped separately. R3-D3 had recorded the princess's distress message and showed the video to Nobita and Doraemon, asking for their help. Based on R2-D2 from Star Wars.","TenComi Volume 19, Page 37; FF Land Volume 21, Page 141; Complete Works Volume 8, Page 305"
"Are Okkana","","Princess","The princess of Lilliput. She looks a little like Shizuka and wears a large star-shaped necklace. She was attacked by Akan Vader's forces and fled into space, but was captured near Earth. She is imprisoned in a secret base in the attic of Gian's house, waiting to be rescued. As a princess, she has a habit of praising and immediately rewarding those who achieve great things. Even in enemy territory, she would take out medals and try to present them.","TenComi Volume 19, Page 37; FF Land Volume 21, Page 141; Complete Works Volume 8, Page 305"
"Aoi no O","","Phone Book Entry","This is the entry Shizuka read aloud to test Nobita, who had memorized the phone book using Memory Bread. The entry appears above the alphabetical listings in the phone book. The phone number is 123-4567.","TenComi Volume 2, Page 10; FF Land Volume 7, Page 91; Complete Works Volume 3, Page 239"
"My Dog Dora","","Character","Doraemon appeared in Nobita's dream as seen through the Standing Dream Stick.","TenComi Volume 16, Page 61; FF Land Volume 20, Page 166; Complete Works Volume 7, Page 304"
"Einstein","","German Physicist","Albert Einstein was a German physicist famous for his theory of Brownian motion, his explanation of the photoelectric effect, and his theory of relativity. Suneo explained these concepts to Nobita.","TenComi Volume 25, Page 146; FF Land Volume 27, Page 5; Complete Works Volume 10, Page 356"
"Einmotain (Doctor)","Ainmotain (Professor)","Scientist","From The Screw of Life story. Einmotain was a stuffed cow brought to life by the screw. After receiving energy from a lightning strike, the cow gained a brilliant mind and invented air purifiers and ceramics used in the Clockwork City.","Long Series Volume 17, Page 51"
"The Girl with Red Shoes","Girl in Red Shoes","Kindergarten Friend","A girl who lived next door to Nobita when he was in kindergarten. Her name is Nonko. Nobita played a prank and hid her red shoes.","TenComi Volume 14, Page 29; FF Land Volume 32, Page 53; Complete Works Volume 4, Page 579"
"Red Scorpion","","Musical Character","A character from the musical The Birth of Heaven. He is the King of the Southern Desert who tried to conquer the lush, green land of the White King.","The Epic Volume 12, Page 126"
